Timestamp,Posted,Duration,Updated_Duration,Summary
2022-05-11 23:17:00,2022-05-31,12:45,,Jolting dot of light in the sky
2022-05-11 13:12:00,2022-05-31,Took photo over contrail,,Did not see by eye. Saw in photo taken.
2022-05-11 05:00:00,2022-06-22,Hours?,,I've seen many different ufos over the past month. I've taken photos of all of them.
2022-05-06 05:45:00,2022-05-31,10,,"See notes, bright swath of light, spilling out of dark sky, another bright spot coming down to land from it"
2022-05-06 05:30:00,2022-05-31,Captured in photo,,Spotted while taking photos of space x launch
2022-05-04 05:47:00,2022-05-31,Hours,,I SAW SYMBOLS LETTERS IN A REPEAT PATTERN
2022-05-01 22:57:00,2022-05-31,Until 5:31 AM on 5/2/2022,,A strange entity emitting varying degrees of bright white light appeared in RING security videos for over 8 hours.
2022-05-01 12:00:00,2022-06-22,1000,,Mankind
2022-05-01 06:00:00,2022-05-31,6:35,,Two lights shaped like dots flying above us and and fast as hell
2022-06-20 16:02:00,2022-06-22,Picture,,Looking out the garage
2022-06-18 21:38:00,2022-06-22,1:06,,Caught on Ring camera and have video of craft coming and going
2022-06-18 19:43:00,2022-06-22,Not sure,,I was just taking a picture of the sunset.
2022-06-17 05:34:00,2022-06-22,Caught on camera,,Caught on camera. ((NUFORC Note: Lens flare?? PD))
2022-06-17 00:11:00,2022-06-22,I have many minutes,,I keep seeing this craft moving on multiple nights.
2022-06-14 20:41:00,2022-06-22,Photograph,,"Took picture of the sunset, then looked at it on my phone, thought, oh cool, there's a plane contrail .. pulled it up closer to see"
2022-06-10 21:12:00,2022-06-22,Not sure,,I saw3 lights that appeared to be connected and in a round shape. I took a couple pics from inside the car.
2022-06-10 18:10:00,2022-06-22,2,,Orb like shapes moving all directions and hovering
2022-06-08 01:27:00,2022-06-22,Previous report,,Basically it was hey some guy who isn't me but heres where or how a government plays it as it didn't happen.
2022-06-07 20:41:00,2022-06-22,Photograph,,"Took picture of the sunset, then looked at it on my phone, thought, oh cool, there's a plane contrail .. pulled it up closer to see"
2022-06-05 02:00:00,2022-06-22,Unbleiveabla,,Terrifying
2022-06-05 01:30:00,2022-06-22,Every night since,,I am watching the same 3 crafts form a triangle above my apartment every night. One over the ocean.
2022-06-04 23:03:00,2022-06-22,25,,Looking a crescent moon and a weird shaped appeared.
2022-06-04 21:04:00,2022-06-22,8,,Tic Tac Tube turning into a ball of light.
2022-06-04 03:38:00,2022-06-22,Currently Happening,,UFO was seemingly bouncing and flashing in mid-air.
2022-06-03 22:30:00,2022-06-22,Multiple times a night,,I see multiple UFO everynight
2022-06-02 22:00:00,2022-06-22,Presently still happening,,"Randomly moving lights in the sky moving above, through, and below clouds."
2022-06-02 16:41:00,2022-06-22,My whole life,,"Over the last year I have beennoting the effects of what I now consider to be an invasion from a coalition of advanced beings, and I"
