Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-09-07 20:54:00,Payson,IL,Other,,MADAR Node 97,2021-10-19,0,1.0,"(-91.24183655, 39.81744385)",-91.24183655,39.81744385,POINT (-91.24183655 39.81744385)
2021-09-07 19:45:00,Papillion,NE,Cylinder,2 min,There were lights moving weird on the horizon. When my brother and I get home we see a tik tak shaped object hovering over our house.,2022-03-04,1,2.0,"(-96.04293823, 41.15646362)",-96.04293823,41.15646362,POINT (-96.04293823 41.15646362)
2021-09-07 17:10:00,Randolph,MA,Sphere,20 seconds,Gold orbs racing down my street about 10 ft off ground.,2021-10-19,0,0.3333333333333333,"(-71.04132843, 42.1625824)",-71.04132843,42.1625824,POINT (-71.04132843 42.1625824)
2021-09-07 12:37:00,Lacey,WA,Other,,MADAR Node 50,2021-10-19,0,1.0,"(-122.82315063, 47.04330063)",-122.82315063,47.04330063,POINT (-122.82315063 47.04330063)
2021-09-07 06:44:00,Shoreline,WA,Other,3 minutes,Odd white low streak going across the sky,2021-09-07,0,3.0,"(-122.33892822, 47.75598526)",-122.33892822,47.75598526,POINT (-122.33892822 47.75598526)
2021-09-07 03:17:00,Goshen,KY,Other,,MADAR Node 182,2021-10-19,0,1.0,"(-85.57666779, 38.40325165)",-85.57666779,38.40325165,POINT (-85.57666779 38.40325165)
2021-09-06 20:45:00,Cleveland,GA,Light,5 minutes,Bright amber light estimated to be about 20 or 30 feet in diameter. Appeared to be hovering then moved slowly Southeast into a thick cl,2021-11-15,0,5.0,"(-83.76287842, 34.59671402)",-83.76287842,34.59671402,POINT (-83.76287842 34.59671402)
2021-09-06 20:00:00,Bristol,CT,Triangle,2 minutes,"As my boyfriend and I drove down the street, we saw a golden glowing triangular shape moving slowly away from us. I watched it closely",2021-10-19,0,2.0,"(-72.94579315, 41.67303848)",-72.94579315,41.67303848,POINT (-72.94579315 41.67303848)
2021-09-06 19:56:00,Lancaster,CA,Fireball,28 seconds,Red orange fireball no sound heard. Unknown speed more like gradual gliding,2021-10-19,0,0.4666666666666667,"(-118.14452362, 34.69747162)",-118.14452362,34.69747162,POINT (-118.14452362 34.69747162)
2021-09-06 12:35:00,Jacksonville,FL,Cylinder,10-15 seconds,I saw 3 cylindrical objects flying past our Jet Blue flight as we were approaching the airport. ((NUFORC Note: Witness is pilot. PD),2021-09-07,0,0.16666666666666666,"(-81.65676117, 30.32596779)",-81.65676117,30.32596779,POINT (-81.65676117 30.32596779)
2021-09-06 11:50:00,Ogilvie,MN,Oval,,I went to my deck looking at the sky saw to s/e a round oval shape was like a very bright yellowish then it moved fast up then as it di,2021-10-19,0,1.0,"(-93.42573547, 45.82769394)",-93.42573547,45.82769394,POINT (-93.42573547 45.82769394)
2021-09-06 10:26:00,Indianapolis,IN,Cylinder,30 seconds,Former law enforcement officer reported slender black cigar-shaped object with 7 lights.,2021-10-26,0,0.5,"(-86.14778137, 39.7908287)",-86.14778137,39.7908287,POINT (-86.14778137 39.7908287)
2021-09-06 06:25:00,Indianapolis,IN,Other,,MADAR Node 21,2022-06-22,0,1.0,"(-86.14778137, 39.7908287)",-86.14778137,39.7908287,POINT (-86.14778137 39.7908287)
2021-09-05 23:00:00,Lake Elsinore,CA,Triangle,1 minute,Was sitting upstairs feeding baby and looking out window to pass time. Saw lights in the form of a triangle above the house across the,2021-09-07,0,1.0,"(-117.32767487, 33.66803741)",-117.32767487,33.66803741,POINT (-117.32767487 33.66803741)
2021-09-05 22:00:00,Sinking Spring,PA,Fireball,3 minutes,2 fire-like orbes circling in the sky,2021-09-07,0,3.0,"(-76.0229187, 40.32703018)",-76.0229187,40.32703018,POINT (-76.0229187 40.32703018)
2021-09-05 20:47:00,Chester,PA,Fireball,2 minutes,A fire ball of an object appeared over my house. It was sitting in one place as I filmed it but began to move when the film started. It,2021-09-07,0,2.0,"(-75.36068726, 39.85268021)",-75.36068726,39.85268021,POINT (-75.36068726 39.85268021)
2021-09-05 19:12:00,Morrison,CO,Circle,,Live Photo on camera captured object flying across the screen,2022-04-22,1,1.0,"(-105.1913147, 39.65238953)",-105.1913147,39.65238953,POINT (-105.1913147 39.65238953)
2021-09-05 11:31:00,Norris City,IL,Other,,MADAR Node 115,2021-10-19,0,1.0,"(-88.32872772, 37.98091125)",-88.32872772,37.98091125,POINT (-88.32872772 37.98091125)
2021-09-05 11:29:00,Malibu,CA,Cigar,30 seconds,UFO's above Decker Canyon,2021-10-19,0,0.5,"(-118.69153595, 34.03579712)",-118.69153595,34.03579712,POINT (-118.69153595 34.03579712)
2021-09-05 09:30:00,Everett,MA,Chevron,10 minute,"2 objects flying very close to each other, I thought it looked really dangerous as I thought at first they were planes, 4 more appeared",2021-09-07,0,10.0,"(-71.05417633, 42.40849686)",-71.05417633,42.40849686,POINT (-71.05417633 42.40849686)
2021-09-05 06:14:00,Royal Palm Beach,FL,Other,,MADAR Node 76,2021-10-19,0,1.0,"(-80.22943878, 26.70176506)",-80.22943878,26.70176506,POINT (-80.22943878 26.70176506)
2021-09-05 04:54:00,Grand Junction,CO,Other,,MADAR Node 75,2021-10-19,0,1.0,"(-108.5695343, 39.06537247)",-108.5695343,39.06537247,POINT (-108.5695343 39.06537247)
2021-09-04 22:30:00,Pittsburgh,PA,Sphere,2 minutes,Definitely not an aircraft.,2021-09-07,0,2.0,"(-79.99495697, 40.44216919)",-79.99495697,40.44216919,POINT (-79.99495697 40.44216919)
2021-09-04 21:00:00,Midlothian,VA,Other,30 seconds,"Two objects seen flying together over Chesterfield,VA",2021-09-07,0,0.5,"(-77.50480652, 37.50111771)",-77.50480652,37.50111771,POINT (-77.50480652 37.50111771)
2021-09-04 20:15:00,Baltimore,MD,Light,2 minutes,"Orange Light Formation that disappears over Baltimore City, MD, Sept. 2021",2022-06-22,0,2.0,"(-76.61233521, 39.29044342)",-76.61233521,39.29044342,POINT (-76.61233521 39.29044342)
2021-09-04 19:20:00,grandview,MO,Other,at least 15 minutes.,it was the 2 gray holes in the sky not clouds cause there was not a cloud in the sky.,2022-05-31,0,15.0,"(-94.53490448, 38.88938904)",-94.53490448,38.88938904,POINT (-94.53490448 38.88938904)
2021-09-04 18:30:00,Dover,PA,Sphere,20 minutes,Two formations of smaller objects came together to form two larger objects disappeared and reappeared miles away.,2021-09-07,0,20.0,"(-76.8503952, 40.00141525)",-76.8503952,40.00141525,POINT (-76.8503952 40.00141525)
2021-09-04 18:13:00,Santa Claus,IN,Other,,MADAR Node 114,2021-10-19,0,1.0,"(-86.92385864, 38.12161636)",-86.92385864,38.12161636,POINT (-86.92385864 38.12161636)
2021-09-04 16:42:00,Hanover,MD,Other,,MADAR Node 77,2021-10-19,0,1.0,"(-76.72437286, 39.19298172)",-76.72437286,39.19298172,POINT (-76.72437286 39.19298172)
