Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/19/21 03:30,Glen Burnie,MD,USA,Disk,35 minutes +,Flashing sphere moving in multiple directions i have a video,10/19/21,
9/18/21 21:15,Mesquite,TX,USA,Changing,30 seconds,The three bright orange (not red like a plane - bright orange) lights in a triangle on the front of each caught my eye first. Three cra,10/19/21,
9/18/21 20:00,Yucca valley,CA,USA,Other,55 min,Dot in sky circling one area,10/19/21,
9/18/21 19:32,Huntington,NY,USA,Circle,15-30 seconds in view,Looked up in the sky saw a small round object floating,3/4/22,
9/18/21 18:00,Orange,CA,USA,Formation,15min,"5 or more round and white objects with some sort of silvery elogated handle on top. They moved slowly in several directions, hovering o",10/19/21,
9/18/21 17:52,Millerton,PA,USA,,,MADAR Node 104,10/19/21,
9/18/21 17:45,Mastic,NY,USA,Cylinder,10 seconds,"Highly reflective Cylinder object seen on the William Floyd Pkwy., Long Island",10/19/21,
9/18/21 16:00,Hampden,MA,USA,Rectangle,30 seconds to a minite,"Shiny, glinting, amazig maneuvers",3/4/22,
9/18/21 15:00,Los Angeles,CA,USA,Disk,5min,Silver/chrome saucer. After the sighting I felt nauseas,10/19/21,
9/18/21 04:09,Fountain,FL,USA,Light,3 to 5 seconds,Bright light,4/22/22,
9/18/21 03:30,Bakersville,NC,USA,Other,2hrs,Physical event witnessed by multiple people,10/19/21,
9/18/21 01:57,Alburquerque,NM,USA,,,MADAR Node 23,10/19/21,
9/17/21 22:10,Laguna Hills,CA,USA,Light,15 minutes,"At 10:10 pm I walked outside, scattered clouds in sky. Clouds were moving slowly sideways. Behind the cloud above my head were 3 circ",10/19/21,
9/17/21 22:00,Livingston,TN,USA,Diamond,7 minutes,"Diamond/Prism object, spinning on an axis. Lasted 7-9 minutes joined by darker than night mother ship and then another diamond Prism jo",10/19/21,
9/17/21 21:25,Moses Lake,WA,USA,Circle,15 seconds,Circles and in wierd positions,10/19/21,
9/17/21 18:15,Ottawa (Canada),ON,Canada,Flash,~30 seconds,Object seemingly moves in two directions at once while brightening and dimming.,10/19/21,
9/17/21 05:59,Valley City,ND,USA,,,MADAR Node 93,10/19/21,
9/16/21 23:30,Cherry Grove,SC,USA,Sphere,30 seconds,Orange orb saw by three people that suddenly vanished away from us.,10/19/21,
9/16/21 21:00,Adelaide (Australia),South Australia,Australia,Cigar,~3 minutes,A long line of 5 or 6 white lights moving very slow and low altitude. ((Starlink satellites?)),3/4/22,
9/16/21 19:45,Pocatello,ID,USA,Light,25 minutes,Glowing light swoops down lands atop mountain emits bright lights then chased off by 6 silent helicopters with green lights,10/19/21,
9/16/21 19:45,Roseville,MI,USA,Circle,5-10 minutes,"While stopped at red light, we observed 4 bright white round objects in the western sky that seemed to be hovering. ((Contrails?))",3/4/22,Yes
9/16/21 19:14,Hudson Falls,NY,USA,Oval,60 seconds,Shiny / metallic orange - red colored oval flying over Hudson Falls witnessed by retired LEO,10/19/21,
9/16/21 19:00,Tucson,AZ,USA,Formation,17 minutes,"Strange circle formation of lights observed above Tucson, AZ hovering and moving northeast towards Oracle, AZ.",10/19/21,
9/16/21 08:22,Mountlake Terrace,WA,USA,,,MADAR Node 100,10/19/21,
9/16/21 07:30,Shoreline,WA,USA,Oval,1 minute,Gray small bouncing object,10/19/21,
9/16/21 00:20,Brick,NJ,USA,Sphere,5 mintes,Two reddish orange spheres very visible that travels as fast speeds.,10/19/21,
9/15/21 20:45,Lake Sumter Landing,FL,USA,Light,8,"On this evening it was dark and partly cloudy. While listening to a live band outside and watching the SpaceX launch live on my phone,",10/19/21,
9/15/21 20:45,Portage,IN,USA,Circle,2-3 minutes,"Rounnd white light moving SW to NE. Stopped, hovered, jogged back turned pink and then turned red and shot straight up",10/19/21,
9/15/21 20:30,Grand Junction,CO,USA,Light,1.5 minutes,Atmosphere entering Tracer Fire lights,10/19/21,
9/15/21 20:06,Port Saint Lucie,FL,USA,,5 minutes,((NUFORC Note: Witness provides no detailed information. PD)),10/19/21,
9/15/21 20:00,Vero Beach,FL,USA,Changing,10 minutes,((NUFORC Note: Witness provides no detailed information. PD)),10/19/21,
9/15/21 18:30,Clearwater,FL,USA,Light,1.5 minutes,There was one big really bright light Lighting up the clouds and beside it was A smaller less bright light that was admitting beams of,10/19/21,
9/15/21 16:30,Norfolk,VA,USA,Light,1 minute,"White Orb seen traveling across sky, which then slowed, stopped, and then traveled away in different direction fading into distance.",10/19/21,
9/15/21 10:23,Jacksonville,NC,USA,Light,3 minutes,"Very bright light,No noise led and followed by two other crafts",10/19/21,
9/15/21 08:30,Sycamore,IL,USA,Circle,20 seconds,"Looked up at a piper plane traveling south of my home. As I looked at it to the west a beam of light, like headlights lit up a pathway",10/19/21,
9/15/21 06:00,Staunton,VA,USA,Unknown,15 minutes,"Southern sky, slightly east about 11 o'clock. Noticed wavering light within a small area in the sky that looked like wavy light or an a",10/19/21,
9/15/21 05:56,Midwest City,OK,USA,,,MADAR Node 172,10/19/21,
9/15/21 03:00,Liverpool,NY,USA,Unknown,15 minutes,I saw something strange white mostly in color and I have 3 pictures of object changing courses and shape,10/19/21,
9/15/21 00:00,Canby,OR,USA,Other,Multiple hours,For multiple nights on clear nights I am able to observe to the west what appears to be a floating pyramid with just the outside edges,10/19/21,
9/14/21 21:00,Alto,NM,USA,Light,6 seconds,"Four mysterious, large lights appear in night sky over Alto New Mexico.",10/19/21,
9/14/21 21:00,St. Petersburg,FL,USA,Light,45 seconds,Two lights hovering and interacting in a controlled manner.,10/19/21,
9/14/21 20:43,Cornwall (Canada),ON,Canada,Oval,5 minutes,"On September 13th 2021 approximately 8:40 p.m. witnessed above the sky in Eastern Ontario Canada. multiple objects, multiple colors, mu",10/19/21,
9/14/21 16:15,Millerton,PA,USA,,,MADAR Node 104,10/19/21,
9/14/21 10:23,Edmonds,WA,USA,,,MADAR Node 61,10/19/21,
9/13/21 22:53,Palm Springs,CA,USA,Triangle,20 seconds,It was sitting on saddle junction mountain to the southwest side. We had never seen such a huge bright light. Was the size of at least,10/19/21,
9/13/21 22:30,Temple Terrace,FL,USA,Light,20 minutes,"I witnessed multiple strange white lights moving above me, in cloud cover on the evening of 09-12-2021 in the city of Temple Terrace, F",10/19/21,
9/13/21 21:00,Litchfield park,AZ,USA,Circle,30,West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.,10/19/21,
9/13/21 19:00,Los angeles,CA,USA,Light,2 minutes,Looked like a red star with an oval shaped ring of light.,4/22/22,
9/13/21 16:30,Loomis,CA,USA,Other,5 minutes,"Concave object with lights, slowly moving southbound.",10/26/21,
9/13/21 15:28,Whittier,CA,USA,Light,1 minute 38 seconds,On September 13th at around 3:28 pm I witnessed 2 ufo as a flock of white doves flew around the cemetery. I took out my phone and caugh,10/19/21,
9/13/21 03:15,Apache Junction,AZ,USA,Disk,Still happening,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.,10/19/21,
9/13/21 00:41,Pine City,NY,USA,,,MADAR Node 82,10/19/21,
9/13/21 00:30,Manistique,MI,USA,Circle,5 minutes,Circular object in NE night sky with geometric pattern in center. Michigan 09/13/2021,10/19/21,
9/12/21 00:00,Cornwallville,NY,USA,Cigar,1 second,Cigar shaped flash of light Quarter mile ahead at 5:47am,10/19/21,
9/12/21 21:03,Kings Park,NY,USA,Circle,1 minute 6 sec,I was at The Pavilion in Sunken Meadow State Park (NY) for my daughters wedding on 9/12/21. It was 9:03pm and I was pushing my granddau,10/19/21,
9/12/21 20:10,Oshawa (Canada),ON,Canada,Triangle,5 minutes,Initially hoved with a bright light then made lateral movements disappeared and reappeared,10/19/21,
9/12/21 18:00,Dallas,TX,USA,Cigar,60 seconds,"White fast moving tic Tac like object flying over Dallas , completely silent",10/19/21,
9/12/21 17:11,Edmonds,WA,USA,,,MADAR Node 61,10/19/21,
9/12/21 12:30,Logansport,IN,USA,Cylinder,less than a second,dark colored craft chasing a jet at fast speed with a blue sky background,10/19/21,
9/12/21 07:59,West Fallowfield,PA,USA,Chevron,2 minutes,Chevron shaped object hovered and disappeared in broad daylight,10/19/21,
9/12/21 03:00,Meadville,PA,USA,Sphere,Still actually,"They're characters in the form of spheres, plazma-like entities (both are in few or more different sizes)plazma-like ones are in multip",10/19/21,
9/12/21 01:11,Kalamazoo,MI,USA,Disk,30 seconds,"Black disc shaped craft with a row of bright red, blue and green bright lights around the disc hovered low and made no noise.",10/19/21,
9/11/21 23:06,medford,OR,USA,Circle,about 20 sec.,i was sitting in the car and i caught something bright out of the corner of my eye and my first thought was to record so i did.,6/22/22,Yes
9/11/21 22:05,Lake Worth,FL,USA,Chevron,15 seconds,Chevron or Boomerang-shaped sighting over Florida Sep 11 2021,10/19/21,
9/11/21 21:10,Westbrook,CT,USA,Cigar,1 minute,Bright circular light hovering in woods at eye level and then turns off without sound,10/19/21,
9/11/21 19:40,Philadelphia,PA,USA,Cylinder,7 minutes,"My husband & I witnessed 20-23 objects flying from south to north, mostly in a straight line. A few were random toward the rear at the",10/19/21,
9/11/21 16:15,Iowa City,IA,USA,Disk,10 seconds,"Orange saucer shaped. Looked as if it was lit from bottom. It was really moving, but appeared to hover and move up slightly. Then it go",10/19/21,
9/11/21 15:30,York,PA,USA,Cylinder,5-10 minutes,Shiny upright cylinder that rotated seen by three witnesses,10/19/21,
9/11/21 04:30,Grand Rapids,MI,USA,Circle,4 seconds,"On September 11, 2021 I was awoken with the sprinkler system turning on at 4:20 AM. A beam of light coming down from the sky shined int",10/19/21,
9/10/21 23:30,Sweetwater,TX,USA,Triangle,A few seconds,Triangular craft above Texas sky.,10/19/21,
9/10/21 23:30,Sweetwater,TX,USA,Egg,8 seconds,Was sitting next to a little bawnfire talking and listening to music when I took a drink and looked up to see 5 small crafts flying in,10/19/21,
9/10/21 22:15,Kennebunk,ME,USA,Flash,1 minute,2 Green Flashing Lights moving unbelievably fast,10/19/21,
9/10/21 21:15,Beeton (Canada),ON,Canada,Sphere,>5 minutes,Orange Orb vanishes in clear night sky. Beeton Ontario Canada,10/19/21,
9/10/21 11:25,Mt. Vernon,IN,USA,,,MADAR Node 119,10/19/21,
9/10/21 00:30,Brunswick,GA,USA,Cigar,10:00,"A multi colored cigar shaped object emitting no sound and the size of a school bus, glided over the tope of my truck while stopped.",10/19/21,
